pid,old-pid,gid,unique gid,goaldisrupted,old-cid,goal-statement,Goal categories,,cid,uniquecid,Goal scope,rep-id,circumstance,Situation that occurred ,Repeating for another goal,Life Event?,Pre-existing?,Duplicate?,how-long,frequency,affect-wellbeing,affect-logistical,Disruption labor produced,Disruption labor produced,Disruption labor produced,affect-goal,change,Goal changes,,,,,,
S01,S01,goal1,S01goal1,"S01goal2, S01goal4",circ1,Financial independence,Financial Stability/Safety,,circ1,S01goal1circ1,Long term,,Location,Resources,No,No,Yes,No,longer than a year,daily,I live in a remote area/ I'm too remote/ ,,Logistical,,,I live far away from opportunities/ There are not as many opportunities available for me where I live/ I live too far from opportunities,I have shifted to trying to find work online,Changed strategy,,,,,,
S01,S01,goal1,S01goal1,,circ2,Financial independence,Financial Stability/Safety,,circ2,S01goal1circ2,Long term,,Motivation,Internal - Feelings and thoughts,No,No,No,No,longer than a year,daily,I feel overwhelmed a lot,,Emotional,,,I feel things are hopeless,"If I were more motivated, I could be more financially independent",Abandoned,,,,,,
S01,S01,goal1,S01goal1,,circ3,Financial independence,Financial Stability/Safety,,circ3,S01goal1circ3,Long term,,Mobility,Pain,No,No,Yes,No,longer than a year,daily,"I'm limited by a past injury

I cannot stand or walk much",,Physical,,,I cannot stand or walk much,"I have to work more from home, but my level of work is difficult to find",Changed strategy,,,,,,
S01,S01,goal2,S01goal2,,circ1,Quell fears,Mental health and wellbeing,,circ1,S01goal2circ1,Aspirational,r1,Son is injured,Caregiving,Yes,Yes,No,No,multiple days to a week,daily,I am worried about him,,Emotional,,,I am fearful of the enemy (his father),I made an appt with a dr despite wanting to handle the injury protocol myself,Changed strategy,,,,,,
S01,S01,goal2,S01goal2,,circ2,Quell fears,Mental health and wellbeing,,circ2,S01goal2circ2,Aspirational,r2,Lack of financial independence,Finances,Yes,Yes,Yes,No,longer than a year,daily,Stress to try to stay in my home,,Emotional,,,Fearful I won't be able to sell home if I tried,I have to trust the universe/God,No change,,,,,,
S01,S01,goal2,S01goal2,,circ3,Quell fears,Mental health and wellbeing,,circ3,S01goal2circ3,Aspirational,,Social stress,Social interactions - negative,No,No,Yes,No,longer than a year,daily,So many people are mentally/cognitively unstable,,Emotional,,,I fear letting the wrong people in,I am working on being more okay with halting relationships with no explanation,Changed strategy,,,,,,
S01,S01,goal2,S01goal2,,circ4,Quell fears,Mental health and wellbeing,,circ4,S01goal2circ4,Aspirational,r3,Storm coming,Weather,Yes,No,No,No,multiple days to a week,daily,I feel stress by the upcoming storm,,Emotional,,,It's just one more worry I don't need,I changed plans and tried to prep the house on my own,Changed strategy,,,,,,
S01,S01,goal2,S01goal2,,circ5,Quell fears,Mental health and wellbeing,,circ5,S01goal2circ5,Aspirational,,Real estate slowing,Finances,No,No,No,No,longer than a year,daily,It is affecting my stress level to know that my house will take a long time to sell,,Emotional,,,"If I can't sell soon, my financial stress will continue",I live in fear owning my home,No change,,,,,,
S01,S01,goal3,S01goal3,,circ1,Trust the universe,Mental health and wellbeing,,circ1,S01goal3circ1,Aspirational,,The answers are not obvious,Internal - Feelings and thoughts,No,No,No,No,multiple days to a week,daily,"I hate living in doubt/ I trust that everything is always okay, but it is seemingly hopeless at the moment/ I am afraid of losing touch with my subconscious awareness",,Emotional,,,I usually receive some kind of answers/ I usually feel the outcome of questions in my gut/ I have woken up to answers to questions my entire life. It hasn't happened in a while,I reach out for help from guides,Changed strategy,,,,,,
S01,S01,goal3,S01goal3,,circ3,Trust the universe,Mental health and wellbeing,,circ2,S01goal3circ2,Aspirational,,I am not experiencing immediate relief,Internal - Feelings and thoughts,No,No,No,No,longer than a year,daily,Increase stress,,Emotional,,,Feeling doubt,I have to accept the ups and downs in my career,Changed strategy,,,,,,
