pid,old-pid,gid,unique gid,goaldisrupted,old-cid,goal-statement,Goal categories,cid,uniquecid,Goal scope,rep-id,Situation that occurred ,Duplicate?,notes- circumstance,barrier or event,circumstance,socio-ecological layer,socio_ecological,Repeating for another goal,Life Event?,Pre-existing?,how-long,notes,frequency,notes,,affect-wellbeing,affect-logistical,Disruption labor produced,Disruption labor produced,Disruption labor produced,affect-goal: how did circumstance affect your goal? (answer only if ,change- how did you change your goal in response to circumstance,Goal changes,notes,,,,,
S140,S149,goal3,S140goal3,,circ1,Save 20% of my paychecks and into a HYSA per month,Financial Stability/Safety,circ1,S140goal3circ1,Medium term,,Finances,Yes,,barrier-unconfident,Spending habits,Psychosocial Factors,Behavior/Biological,,No,No,multiple days to a week,,weekly,,,"Short term; feels good. Long term, I know that I should get better at saving.",N/A,Emotional,,,It has made me not save 20% of my paychecks.,I decided that I would set up how my paycheck was deposited; 20% of it would be sent directly to a HYSA with no withdrawals.,Skipped,,,,,,
S62,S65,goal2,S62goal2,,circ1,Trying to save some money,Financial Stability/Safety,circ1,S62goal2circ1,Medium term,,Finances,No,,barrier-unconfident,Buying cigarettes,Psychosocial Factors,Behavior/Biological,,No,No,multiple months to a year,,daily,okay,recurring,Cigarettes make you sick.,NA,Financial,,,It's hard to save if you're spending $200 a month on cigarettes,I save first before buying cigarettes,Changed environment,,,,,,
S105,S113,goal1,S105goal1,,circ2,Becoming more healthy,Physical Activity,circ2,S105goal1circ2,Long term,,Finances,No,,barrier-unconfident,Paying tuition,Psychosocial Factors,Living/Working,No,No,No,multiple days to a week,,weekly,,,I am stressed because of finances.,NA,Emotional,,,I am less motivated because I am more stressed,I wasn’t about to afford the gym because I am paying tuition.,Paused,,,,,,
S01,S01,goal1,S01goal1,,circ2,Financial independence,Financial Stability/Safety,circ2,S01goal1circ2,Long term,,Internal - Feelings and thoughts,No,not tied to an event,barrier,Motivation,Behaviors and Biological Factors,Psychosocial,No,No,No,longer than a year,"could be made up of smaller instances of recurring disruption, time scale of instance could be less than a day",daily,"okay, assuming low motivation as a time bound event that happens every day",recurring,I feel overwhelmed a lot,,Emotional,,,I feel things are hopeless,"If I were more motivated, I could be more financially independent",Abandoned,,,,,,
S01,S01,goal3,S01goal3,,circ1,Trust the universe,Mental health and wellbeing,circ1,S01goal3circ1,Aspirational,,Internal - Feelings and thoughts,Yes,motivation,barrier,The answers are not obvious,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,daily,,,"I hate living in doubt/ I trust that everything is always okay, but it is seemingly hopeless at the moment/ I am afraid of losing touch with my subconscious awareness",,Emotional,,,I usually receive some kind of answers/ I usually feel the outcome of questions in my gut/ I have woken up to answers to questions my entire life. It hasn't happened in a while,I reach out for help from guides,Changed/ adopted support,,,,,,
S01,S01,goal1,S01goal1,,circ3,Financial independence,Financial Stability/Safety,circ3,S01goal1circ3,Long term,,Pain,No,"ability, semi-permanent, can't change except wait to improve, outside of control",barrier,Mobility,Psychosocial Factors,Behavior/Biological,No,No,Yes,longer than a year,"single instance of big disruption, time scale of months",daily,"not a recurring event, frequency here refers to perceived disruption on a daily basis due to permancence of the situation/ circumstance",non-recurring,"I'm limited by a past injury

I cannot stand or walk much",,Physical,,,I cannot stand or walk much,"I have to work more from home, but my level of work is difficult to find",Other,,,,,,
S01,S01,goal2,S01goal2,,circ1,Quell fears,Mental health and wellbeing,circ1,S01goal2circ1,Aspirational,r1,Social interactions - negative,No,,event-external,Son is injured,Psychosocial Factors,Social/Community,Yes,Yes,No,multiple days to a week,,daily,,,I am worried about him,,Emotional,,,I am fearful of the enemy (his father),I made an appt with a dr despite wanting to handle the injury protocol myself,Changed/ adopted support,,,,,,
S01,S01,goal2,S01goal2,,circ3,Quell fears,Mental health and wellbeing,circ3,S01goal2circ3,Aspirational,,Social interactions - negative,No,"more of a time bound event, could be changed",barrier,Social stress,Psychosocial Factors,Social/Community,No,No,Yes,longer than a year,"could be made of smaller events/ instances, time scale of each social stressor being a social interaction lasting less than half a day or less than a day if work related",daily,"okay, assuming they meet different people/ social stressors change",recurring,So many people are mentally/cognitively unstable,,Emotional,,,I fear letting the wrong people in,I am working on being more okay with halting relationships with no explanation,Changed thoughts or belief,,,,,,
S01,S01,goal4,S01goal4,,circ1,Make my children proud of me,Social connection,circ1,S01goal4circ1,Aspirational,r1,Social interactions - negative,Yes,seems sons injury related,event-external,I feel hopeless in battling my son's injury,Behaviors and Biological Factors,Psychosocial,Yes,Yes,No,multiple days to a week,,daily,,,It is causing me stress/ It is a constant worry that affects my overall well-being,,Emotional,,,"I feel weak/ I am always worried about him harming them, but usually he wouldn't have the ability too. The injury changes that, despite it happening during his watch.",I am persevering/ I have to be mindful to stay cognitively strong,No change,,,,,,
S01,S01,goal5,S01goal5,,circ2,Fight harder against the enemy,Mental health and wellbeing,circ2,S01goal5circ2,Aspirational,r1,Social interactions - negative,Yes,son's injury,event-external,"He caused my son's injury to happen, which brings up unhealthy anger",Behaviors and Biological Factors,Social/Community,Yes,Yes,No,multiple days to a week,,daily,,,"Anger is unhealthy unless there is a positive resolution, which feels impossible with the enemy involved",,Emotional,,,"I am reminded that the enemy should have zero involvement with the children, but I am helpless against the system","It does give more power that he was the cause, rather than if it happened on my watch",No response,,,,,,
S01,S01,goal1,S01goal1,"S01goal2, S01goal4",circ1,Financial independence,Financial Stability/Safety,circ1,S01goal1circ1,Long term,,Surroundings,No,"barrier, more permanent, living situation, less ability to change",barrier,Location,Psychosocial Factors,Living/Working,No,No,Yes,longer than a year,"single big disruption, time scale of years",daily,"not a recurring event, frequency here refers to perceived disruption on a daily basis due to permancence of the situation/ circumstance",non-recurring,I live in a remote area/ I'm too remote/ ,,No response,,,I live far away from opportunities/ There are not as many opportunities available for me where I live/ I live too far from opportunities,I have shifted to trying to find work online,Substituted activity,,,,,,
